date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:42	31760/31760	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:34%20GMT	https://dev.bekasikab.go.id/telagaasih/	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/index.html	(from )
16:16:42	282/282	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Jun%202023%2009:16:34%20GMT	https://dev.bekasikab.go.id/robots.txt		(from )
16:16:42	13071/13071	---M--	200	added ('OK')	image/png	etag:%22330f-5c04b15a88880%22	https://dev.bekasikab.go.id/telagaasih/vendor/assets/img/logokab70x70.png	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/vendor/assets/img/logokab70x70.png	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:43	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-5e32ed9862040-gzip%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/aos/aos.css	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/aos/aos.css	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:43	155631/155631	---M-Z	200	added ('OK')	text/css	etag:%2225fef-5e32ed9956280-gzip%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/bootstrap/css/bootstrap.min.css	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/bootstrap/css/bootstrap.min.css	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:43	65696/65696	---M-Z	200	added ('OK')	text/css	etag:%22100a0-5e32ed9d26b80-gzip%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/bootstrap-icons/bootstrap-icons.css	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/bootstrap-icons/bootstrap-icons.css	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:44	63235/63235	---M-Z	200	added ('OK')	text/css	etag:%22f703-5e32ed9e1adc0-gzip%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/css/boxicons.min.css	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/css/boxicons.min.css	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:44	13746/13746	---M-Z	200	added ('OK')	text/css	etag:%2235b2-5e32ed9f0f000-gzip%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/glightbox/css/glightbox.min.css	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/glightbox/css/glightbox.min.css	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:44	110438/110438	---M-Z	200	added ('OK')	text/css	etag:%221af66-5e32eda003240-gzip%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/remixicon/remixicon.css	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/remixicon/remixicon.css	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:44	13871/13871	---M-Z	200	added ('OK')	text/css	etag:%22362f-5e32eda0f7480-gzip%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/swiper/swiper-bundle.min.css	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/swiper/swiper-bundle.min.css	(from https://dev.bekasikab.go.id/telagaasih/)
